Project,DIN_Ebene1,DIN_Ebene1_Beschreibung,DIN_Ebene2,DIN_Ebene2_Beschreibung,DIN_Ebene3,DIN_E3_Beschreibung,prav_Personalkosten,prav_Materialkosten,korr_Personalkosten,korr_Materialkosten,Gesamtkosten
HFX (Kangni),J,J -- Überwachungs und Sicherheitseinrichtungen,JG,JG -- zusätzliche Ausstattungen,JG02,JG02 -- CCTV Videoüberwachungsanlage außen,5145.1952234054215,5637.8841997155,1739.8905259341802,1402.4355358522607,12847.83241
HFX (Kangni),J,J -- Überwachungs und Sicherheitseinrichtungen,JG,JG -- zusätzliche Ausstattungen,JG03,JG03 -- CCTV Videoüberwachungsanlage innen,4958.594051924939,5360.563680241375,1675.4677300786184,1842.1413627316053,12769.5891
HFX (Kangni),K,K -- Beleuchtung,KA,KA -- Beleuchtung,KA01,KA01 -- Beleuchtung,5760.554450344123,4823.7512246914885,1712.9249916208155,1458.1502948009966,12697.79478
HFX (Kangni),K,K -- Beleuchtung,KB,KB -- Außenbeleuchtungseinrichtungen,KB01,"KB01 -- Außenbeleuchtung (Scheinwerfer, Spitzenlicht, inkl. Steuerung)",5703.129055650087,5249.277407355858,1681.312661945655,1691.4689637626918,13221.77706
HFX (Kangni),K,K -- Beleuchtung,KC,KC -- Innenbeleuchtungseinrichtungen,KC01,KC01 -- Innenbeleuchtungseinrichtungen,5538.385632057037,4572.622564539605,1971.6350591968776,1376.3056862163212,12427.28432
HFX (Kangni),K,K -- Beleuchtung,KC,KC -- Innenbeleuchtungseinrichtungen,KC02,KC02 -- Signalleuchte für Tür,4921.71167875248,5158.953191886209,1996.1006709837927,1614.1287797778728,12637.74792
HFX (Kangni),K,K -- Beleuchtung,KC,KC -- Innenbeleuchtungseinrichtungen,KC03,KC03 -- Innenbeleuchtung FGR,5432.494352110016,4034.620255835875,1744.2617171031623,1863.457981942398,12077.11462
HFX (Kangni),K,K -- Beleuchtung,KC,KC -- Innenbeleuchtungseinrichtungen,KC04,KC04 -- Innenbeleuchtung FST,5481.822710945277,4481.743895378087,1777.322687768573,1662.4790701846791,12376.47359
HFX (Kangni),L,L -- Klimatisierung,LA,LA -- Klimatisierung,LA01,LA01 -- Klimagerät / Heizungsgerät FGR (mit / ohne Propan),3922.851076802031,5376.322244899964,1762.3913601106983,1526.5360173923877,11613.86189
HFX (Kangni),L,L -- Klimatisierung,LA,LA -- Klimatisierung,LA02,LA02 -- Klimagerät / Heizungsgerät FST (mit / ohne Propan),4613.505466473462,6332.943852183925,1909.6873748473818,1506.5512728777016,13247.73006
HFX (Kangni),L,L -- Klimatisierung,LA,LA -- Klimatisierung,LA03,LA03 -- Fußbodenheizung FST ,5994.567251009476,4462.463562609949,1638.6845171757855,2027.3032712305235,13042.76394
HFX (Kangni),L,L -- Klimatisierung,LA,LA -- Klimatisierung,LA04,LA04 -- Fußbodenheizung FGR ,5644.4056794877415,5209.484670897487,1790.0222620502398,1858.9861340451976,13387.90728
HFX (Kangni),L,L -- Klimatisierung,LB,"LB -- Ansaugung, Entlüftung",LB01,LB01 -- Klima Ansaugung,4717.000494064591,5123.157924434034,1886.356899170336,1677.5733497136787,12372.2834
HFX (Kangni),L,L -- Klimatisierung,LB,"LB -- Ansaugung, Entlüftung",LB02,LB02 -- Klima Entlüftung,5580.441857468167,3806.4388105887506,1908.9253602532715,1731.2310255362509,12035.5289
HFX (Kangni),L,L -- Klimatisierung,LB,"LB -- Ansaugung, Entlüftung",LB03,LB03 -- Luftkanalsystem FST (Stoffkanäle PKO),5301.531222927151,5459.0762259450785,1631.4427964427623,1504.0310041596401,12821.94481
HFX (Kangni),L,L -- Klimatisierung,LC,LC -- Aufbereitung,LC01,LC01 -- Heizlüfter (Einstieg / FST / Sonstige),4976.539803395927,4500.28611471851,1817.8000983746933,1783.1187852039056,12075.88203
HFX (Kangni),L,L -- Klimatisierung,LC,LC -- Aufbereitung,LC02,LC02 -- Klimakanäle (FST),6178.3845346213775,4334.204356221204,1333.0140188518812,1783.2193692721748,12583.73375
HFX (Kangni),L,L -- Klimatisierung,LC,LC -- Aufbereitung,LC03,LC03 -- Klimakanäle (FGR),5176.048562052712,5112.224060604103,2080.010365707217,1607.3870322398227,12902.11005
HFX (Kangni),L,L -- Klimatisierung,LC,LC -- Aufbereitung,LC04,LC04 -- Luftbehandlungsgerät FGR incl. Sensoren,6004.166145680923,4847.216672634844,1444.8184683052116,2008.3538522211459,13205.87049
HFX (Kangni),L,L -- Klimatisierung,LC,LC -- Aufbereitung,LC05,LC05 -- Türpfostenheizgerät,4712.84703726347,6623.97655236635,1841.5804209570167,1882.084519105757,13891.59682
HFX (Kangni),L,L -- Klimatisierung,LC,LC -- Aufbereitung,LC06,LC06 -- Seitenwandheizung,6085.121311906819,5215.161168360297,1731.97528135045,1818.6369326491035,13709.17426
HFX (Kangni),L,L -- Klimatisierung,LC,LC -- Aufbereitung,LC07,LC07 -- Abdeckung Konvektionsheizung (FGR),4033.8559801168303,5496.049748563002,1865.7377317494393,1396.1499601183425,11801.40274
HFX (Kangni),L,L -- Klimatisierung,LC,LC -- Aufbereitung,LC08,LC08 -- Konvektionsheizung FGR,5937.231583364574,4701.580251438246,1622.7297840254187,1504.4184677576618,12708.22213
HFX (Kangni),L,L -- Klimatisierung,LC,LC -- Aufbereitung,LC09,LC09 -- Fußpodest beheizt,5498.0274687790015,4662.085651497434,1433.57104326353,1740.9415549493463,12309.24792
HFX (Kangni),L,L -- Klimatisierung,LC,LC -- Aufbereitung,LC10,LC10 -- Ausblaskasten Untersitz,5731.822797682268,3926.9101802815994,1449.0057816849096,2078.0244996547276,12179.48803
HFX (Kangni),L,L -- Klimatisierung,LD,LD -- Verteilung,LD01,LD01 -- Verteilung,4290.920710801444,5491.874375697787,1568.1603620467067,1541.1619556841151,11892.76245
HFX (Kangni),L,L -- Klimatisierung,LD,LD -- Verteilung,LD02,LD02 -- Luftkanalsystem Tür-/Portalsäulen (Stoffkanäle PKO),5003.608302192501,5624.619595464944,1446.6147136335032,1804.4249994632387,12804.84779
HFX (Kangni),L,L -- Klimatisierung,LD,LD -- Verteilung,LD03,LD03 -- Luftkanalsystem Decke (Stoffkanäle PKO) - sofern nicht in Innendecke,3908.454464099073,5525.88063629365,1578.6092658771931,2049.5358189940557,12052.1151
HFX (Kangni),L,L -- Klimatisierung,LD,LD -- Verteilung,LD04,LD04 -- Luftverteilerbox an Klimaanlage,4693.441207056042,6583.542767543567,1733.1436250992192,1413.466525196815,13300.27206
HFX (Kangni),L,L -- Klimatisierung,LD,LD -- Verteilung,LD05,LD05 -- Luftkanäle für Stromrichter-/Trafokühlung,6439.277708056888,4477.256351611034,1822.832323638977,1771.8547970761695,13401.95296
HFX (Kangni),L,L -- Klimatisierung,LE,LE -- Regelung,LE01,LE01 -- Regelung,4450.273655855379,5193.691950846185,1799.1099317145668,1725.920099314965,12153.80573
HFX (Kangni),M,M -- Nebenbetriebsanlage,MA,MA -- Nebenbetriebsanlage,MA01,MA01 -- Nebenbetriebsanlage,6056.954987657696,5080.719612117769,1626.0169871978355,1704.1941397323678,13354.92278
HFX (Kangni),M,M -- Nebenbetriebsanlage,MB,MB -- Sanden,MB01,MB01 -- Sandungsanlage (inkl. Sandkasten),5690.477319004789,3876.4170450376528,1669.8688929694074,2060.155229798768,12284.19145
HFX (Kangni),M,M -- Nebenbetriebsanlage,MB,MB -- Sanden,MB02,MB02 -- Sandbehälter,4619.632697800303,6078.797769939482,1648.077391688846,1981.5018139056767,13217.97746
HFX (Kangni),M,M -- Nebenbetriebsanlage,MB,MB -- Sanden,MB03,MB03 -- Sandmodul inkl. Auslegung,5176.104028444674,4839.156231368833,1453.5809986641405,1813.5942905383706,12259.83553
HFX (Kangni),M,M -- Nebenbetriebsanlage,MC,MC -- Schmiereinrichtung,MC01,MC01 -- Spurkranzschmieranlage,5871.720458428604,4183.076809979364,1804.3423386316956,1618.649082559734,12447.95796
HFX (Kangni),M,M -- Nebenbetriebsanlage,MD,MD -- Weichensteuerung,MD01,MD01 -- Weichensteuerung,5282.902303854194,4223.436936389082,1649.6802121524033,1951.1489922611636,12105.05093
HFX (Kangni),M,M -- Nebenbetriebsanlage,ME,ME -- Fahrausweiseinrichtungen,ME01,ME01 -- Fahrscheineinrichtungen,6372.860835308973,4669.162414178619,1919.7699311212186,1303.9501802039533,13172.02535
HFX (Kangni),M,M -- Nebenbetriebsanlage,MF,MF -- Fahrgastzähleinrichtung,MF01,MF01 -- Automatische Fahrgastzähleinrichtung (AFZ),5340.736981987283,5357.835633682612,1585.8216521047812,1692.5474614732186,12898.06059
HFX (Kangni),N,"N -- Türen, Einstiege",,"NA -- Türen, Einstiege",NA01,"NA01 -- Türen, Einstiege",5727.8636446157625,4513.985163775345,1407.5230616728797,1657.7315249854357,12284.5922
HFX (Kangni),N,"N -- Türen, Einstiege",NB,NB -- Außentüren,NB01,NB01 -- Außentüren FGR,5071.740090086354,6247.706100586671,1517.1291542698916,1607.057647971992,13321.05362
HFX (Kangni),N,"N -- Türen, Einstiege",NB,NB -- Außentüren,NB02,NB02 -- Außentüren FST,3954.990488017424,5758.144763285118,1876.051954849183,1729.683310268691,12287.98898
HFX (Kangni),N,"N -- Türen, Einstiege",NB,NB -- Außentüren,NB03,NB03 -- Lichtgitter,4877.901575603878,5123.431866183952,1526.7932479318933,2072.716123803851,12553.3573
HFX (Kangni),N,"N -- Türen, Einstiege",NB,NB -- Außentüren,NB04,NB04 -- Fronttür,5061.415830411649,4980.162084046526,1934.8789507159836,1755.6926896218388,12677.62377
HFX (Kangni),N,"N -- Türen, Einstiege",NC,NC -- Innentüren,NC01,NC01 -- Innentüren,5814.460467168547,5360.718968842288,1850.1102445714114,1476.8445077495187,13384.76902
HFX (Kangni),N,"N -- Türen, Einstiege",NC,NC -- Innentüren,NC02,NC02 -- Innentür Übergang,4818.013463592598,4469.092259807632,1720.563487993923,1863.3181088204794,11884.5685
HFX (Kangni),N,"N -- Türen, Einstiege",NC,NC -- Innentüren,NC03,NC03 -- Innentür Abteil (1. Klasse),4035.4720908531117,5579.885905403104,1707.4657837096247,1506.9262182371747,11835.12043
HFX (Kangni),N,"N -- Türen, Einstiege",NC,NC -- Innentüren,NC04,NC04 -- Innentür Evakuierung (Rauchschutz),5204.560149266454,4174.562022305286,1960.232999650415,1740.5932253803478,12081.60681
HFX (Kangni),N,"N -- Türen, Einstiege",NC,NC -- Innentüren,NC05,NC05 -- Innentür FST - FGR / Maschinenraum,4373.001714072765,5369.964884953413,1776.7396947905888,1411.4552819913083,11930.87261
HFX (Kangni),N,"N -- Türen, Einstiege",ND,"ND -- Einstiege, Aufstiege (nicht innen)",ND01,ND01 -- Schiebetritt,4332.165990381909,5420.464198513843,1596.8526442162408,1493.6967040967602,11848.13824
HFX (Kangni),N,"N -- Türen, Einstiege",ND,"ND -- Einstiege, Aufstiege (nicht innen)",ND02,ND02 -- Spaltüberbrückung,6121.5687783143085,4768.251835623464,1479.199575423836,2067.1372848851793,13328.75992
HFX (Kangni),N,"N -- Türen, Einstiege",ND,"ND -- Einstiege, Aufstiege (nicht innen)",ND03,"ND03 -- Trittleiste, Einstieg",6277.596270829698,4616.074807359954,1720.1520053931856,1515.0867479225972,13045.39436
HFX (Kangni),N,"N -- Türen, Einstiege",NE,NE -- Behinderteneinstiege,NE01,NE01 -- Faltrampe,5091.488474970152,5421.457789694425,1747.9021996287938,1636.299216494379,12824.58488
HFX (Kangni),N,"N -- Türen, Einstiege",NE,NE -- Behinderteneinstiege,NE02,NE02 -- Hublift,4636.650108605268,5548.783051854457,1617.6471779768494,1459.5221895349264,12234.95338
HFX (Kangni),P,P -- Informationseinrichtungen,PA,PA -- Informationseinrichtungen,PA00,PA00 -- Informationseinrichtungen (SW),6244.039519936802,4404.854161664464,1363.1038711678566,1920.9353978026272,12865.14351
HFX (Kangni),P,P -- Informationseinrichtungen,PA,PA -- Informationseinrichtungen,PA01,"PA01 -- Antennen Funk (GSM, GPS)",4588.943816578121,5477.293653589462,1943.155542876089,1569.6413467093867,12530.93394
HFX (Kangni),P,P -- Informationseinrichtungen,PA,PA -- Informationseinrichtungen,PA02,"PA02 -- FIS ELA Komponenten, außer GSM, Video, Sitzplatzreservierung, Anzeigen",5959.757932479711,4755.600365972463,1356.1446584424368,1945.6883348589304,12940.02965
HFX (Kangni),P,P -- Informationseinrichtungen,PA,PA -- Informationseinrichtungen,PA03,PA03 -- GSM Funkmodem,5305.526771927989,5402.766095483405,1922.3291880347506,1388.8213571695717,12938.08686
HFX (Kangni),P,P -- Informationseinrichtungen,PB,PB -- optische Informationseinrichtungen,PB01,PB01 -- FIS / ELA Anzeigen ,5276.4926796903865,4730.660681115543,1613.8926338707251,1563.9029799146524,12170.73985
HFX (Kangni),P,P -- Informationseinrichtungen,PB,PB -- optische Informationseinrichtungen,PB02,PB02 -- Sitzplatzreservierung,4969.569393824261,4662.163569237517,1999.8840806124422,1721.5121646260682,12330.173
HFX (Kangni),P,P -- Informationseinrichtungen,PB,PB -- optische Informationseinrichtungen,PB03,PB03 -- Außenanzeigen FIS,4779.712587422017,4516.93930615327,1991.6138546002203,1608.5638747740213,11908.90399
HFX (Kangni),P,P -- Informationseinrichtungen,PB,PB -- optische Informationseinrichtungen,PB04,PB04 -- Innenanzeigen FIS ,4900.576133495803,4859.159791751633,1907.3377425629635,1563.4254071762148,12213.74875
HFX (Kangni),P,P -- Informationseinrichtungen,PB,PB -- optische Informationseinrichtungen,PB05,PB05 -- FIS ELA STAMA ,5002.564909549654,5781.2917288379585,1973.787400995409,1424.4802615923684,13085.70778
HFX (Kangni),P,P -- Informationseinrichtungen,PB,PB -- optische Informationseinrichtungen,PB06,PB06 -- FIS Bordrechner,4534.216749467167,6530.701185435237,1908.8581293530187,1524.9361191132243,13371.8645
HFX (Kangni),P,P -- Informationseinrichtungen,PC,PC -- optische Informationselemente,PC01,PC01 -- Piktogramme (innen & außen),5440.335737451089,5727.456508611306,1627.6753150620707,1961.6149599063835,13617.72771
HFX (Kangni),P,P -- Informationseinrichtungen,PD,PD -- Unterhaltung,PD01,PD01 -- Fahrzeugrouter,4316.064454548968,6499.9513036918715,1778.0042691105657,1403.4483860164805,12907.13866
HFX (Kangni),P,P -- Informationseinrichtungen,PD,PD -- Unterhaltung,PD02,PD02 -- TFT-Bildschirme,5922.811360442572,4814.695666222556,1680.4050780610542,1617.8894145237516,12957.65363
HFX (Kangni),P,P -- Informationseinrichtungen,PD,PD -- Unterhaltung,PD03,PD03 -- Passenger WLAN,5025.784260434378,6141.580827613196,1595.2535960065286,1850.9342357133173,13480.65505
HFX (Kangni),P,P -- Informationseinrichtungen,PE,PE -- Werbung,PE01,PE01 -- Werbung,4623.662331230375,5297.174598489939,1790.9209535037278,1928.6703622819518,12589.68187
HFX (Kangni),P,P -- Informationseinrichtungen,PF,PF -- akustische Informationseinrichtungen,PF01,PF01 -- akustische Informationseinrichtungen (Horn),5215.818545668372,4334.738998912042,1458.7329637436526,1728.1468062959584,11759.89854
HFX (Kangni),P,P -- Informationseinrichtungen,PF,PF -- akustische Informationseinrichtungen,PF02,PF02 -- akustische Informationseinrichtungen (ELA),4398.576718937368,5262.589096709149,1468.335115173097,1763.8856216072127,11896.15481
HFX (Kangni),P,P -- Informationseinrichtungen,PF,PF -- akustische Informationseinrichtungen,PF03,PF03 -- ELA AIU Sprechstellen (Audio Intercommunication Unit),5596.776007692004,4220.847406375975,1739.1839919110619,1994.9564356451863,12517.08453
HFX (Kangni),P,P -- Informationseinrichtungen,PF,PF -- akustische Informationseinrichtungen,PF04,PF04 -- ELA Mikrofone,4646.489923084896,5637.699000858412,1582.2364387322164,1953.7863110312062,12751.62966
HFX (Kangni),P,P -- Informationseinrichtungen,PF,PF -- akustische Informationseinrichtungen,PF05,PF05 -- ELA Fahrerstandslautsprecher,5332.8754331429045,5962.345231382434,2027.774061804624,1498.4372699581543,13676.09161
HFX (Kangni),P,P -- Informationseinrichtungen,PF,PF -- akustische Informationseinrichtungen,PF06,PF06 -- ELA Lautsprecher (innen),5377.923226182052,5000.427896498817,1423.1497117647057,1855.2668510417413,12604.60102
HFX (Kangni),P,P -- Informationseinrichtungen,PF,PF -- akustische Informationseinrichtungen,PF07,PF07 -- ELA Lautsprecher (außen),3996.709450996079,5496.403908002266,1636.307747200618,2001.947638261091,12116.30141
HFX (Kangni),P,P -- Informationseinrichtungen,PF,PF -- akustische Informationseinrichtungen,PF08,PF08 -- ELA ACU (Audio Car Unit),5476.293831849316,4763.0327366134015,1393.725242099531,2022.765941577241,12606.27788
HFX (Kangni),P,P -- Informationseinrichtungen,PF,PF -- akustische Informationseinrichtungen,PF09,PF09 -- ELA ADU (Audio Driver Unit),4613.347206217302,5372.87145211127,1570.7903763544132,1495.1493322109136,12041.67792
HFX (Kangni),P,P -- Informationseinrichtungen,PF,PF -- akustische Informationseinrichtungen,PF10,PF10 -- HMI FIS,4737.240773287582,5670.425284564781,1754.4475075694284,1406.1628682941093,12517.33727
HFX (Kangni),Q,Q -- Pneumatik / Hydraulik,QA,QA -- Pneumatik / Hydraulik,QA01,QA01 -- Pneumatik / Hydraulik,5759.162003133115,3878.8186723615286,1484.162277459499,2097.874661262857,12211.9156
HFX (Kangni),Q,Q -- Pneumatik / Hydraulik,QA,QA -- Pneumatik / Hydraulik,QA02,QA02 -- Luftkompressor inkl. Trockner / Drucklufterzeugung ,5391.159301153145,5336.218279569283,1489.850493911312,2163.5173641267183,13272.94477
HFX (Kangni),Q,Q -- Pneumatik / Hydraulik,QB,QB -- Erzeugung,QB01,QB01 -- Erzeugung,5693.717713993972,5352.4876643782645,1628.014287753547,1732.1036666918628,13295.70514
HFX (Kangni),Q,Q -- Pneumatik / Hydraulik,QB,QB -- Erzeugung,QB02,QB02 -- Pneumatik - Druckluftversorgung Montagerahmen,4409.219239780708,5046.467513470956,1383.8848666689325,1773.359648034643,11638.11718
HFX (Kangni),Q,Q -- Pneumatik / Hydraulik,QC,QC -- Aufbereitung,QC01,QD01 -- Luftbehälter / Luftbevorratung,4101.466696595688,6206.83125710256,1746.3899250625836,1788.7151053022776,12768.52955
HFX (Kangni),Q,Q -- Pneumatik / Hydraulik,QD,QD -- Bevorratung,QD01,QD01 -- Bevorratung,5219.5767059067,5804.830869033214,1770.6610044553288,1688.8857582761584,13364.32301
HFX (Kangni),Q,Q -- Pneumatik / Hydraulik,QE,QE -- Verteilung,QE01,QE01 -- Verteilung,4774.498735766092,4911.7472201879955,1949.3757093649504,1691.587585592131,12303.52965
HFX (Kangni),Q,Q -- Pneumatik / Hydraulik,QE,QE -- Verteilung,QE02,QE02 -- Druckluftrohre,3772.9469937376552,5707.623798327614,2135.62616690191,1504.8392788752294,12106.34536
HFX (Kangni),R,R -- Bremse,RA,RA -- Bremse,RA01,RA01 -- Bremssystem/Bremskomponenten (montagerelevant),4497.407729281773,6204.139743387624,1404.758191704878,1727.8967871007148,12757.45802
HFX (Kangni),R,R -- Bremse,RA,RA -- Bremse,RA02,RA02 -- Luftversorgungsanlage,5976.011973591433,4648.561772994943,1554.6951425778261,2135.9933931010974,13218.78634
HFX (Kangni),R,R -- Bremse,RA,RA -- Bremse,RA03,RA03 -- EPC Kompakt,6038.435649927421,5225.759497209589,1632.1239667539664,1943.1896317888397,13698.35537
HFX (Kangni),R,R -- Bremse,RA,RA -- Bremse,RA04,RA04 -- MG-Bremse,6624.350644916298,4535.9156690251775,1735.875218744325,1834.623681414003,13604.15037
HFX (Kangni),R,R -- Bremse,RA,RA -- Bremse,RA05,RA05 -- Bremskomponenten (vormontagerelevant),5187.97367090806,5435.675558632463,1486.2310340544072,2035.6750165860565,13054.00066
HFX (Kangni),R,R -- Bremse,RB,RB -- Bremselemente,RB01,RB01 -- Bremselemente,5053.1303106648165,5663.427844481154,1761.0667205629939,1554.238620926104,12946.81836
HFX (Kangni),R,R -- Bremse,RC,RC -- mechanische Bremskraftübertragung,RC01,RC01 -- mechanische Bremskraftübertragung,5676.038995419389,4853.033750812297,1812.73292261511,1532.0198972682822,12808.06686
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SA,SA -- Fahrzeugverbindungseinrichtungen,SA01,SA01 -- Fahrzeugverbindungseinrichtungen,4683.536534208409,6024.850442741201,1641.2500017960213,1463.2492076212836,12739.90436
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SB,SB -- automatische Kupplungseinrichtungen,SB01,SB01 -- Frontkupplung (Mittelpufferkupplung),5449.740146754217,5498.638191367059,1588.2530569792393,1961.663784051091,13380.11566
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SB,SB -- automatische Kupplungseinrichtungen,SB02,SB02 -- Kurzkupplung / Zwischenkupplung (Übergangskupplung),5842.469742052862,4184.248040857732,1830.0622800913025,1519.8794063645632,12354.19612
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SC,SC -- Manuelle Kupplungseinrichtungen,SC01,"SC01 -- Kupplungskonsolen, Gelenkaufnahme, -träger",6088.643550507249,4755.851475240779,1505.5579303339225,1738.1580684116338,13005.92311
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SC,SC -- Manuelle Kupplungseinrichtungen,SC02,SC02 -- Intercar Dämpfer,4020.162369848638,5306.311467315142,1932.0457949044776,1647.5455361209918,11910.21999
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SC,SC -- Manuelle Kupplungseinrichtungen,SC03,SC03 -- Hilfskupplung,6555.254960477966,4502.143688880453,1915.829666562979,1384.6412979152797,13259.00283
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SC,SC -- Manuelle Kupplungseinrichtungen,SC04,SC04 -- Zwischenkupplung/Kurzkupplung,5364.45929497438,5473.847408303678,1640.0043563560794,2061.081718327593,13419.09495
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SD,"SD -- Stoßeinrichtungen, Puffereinrichtungen",SD01,"SD01 -- Stoßeinrichtungen, Puffereinrichtungen",4658.752851166509,6671.01901489489,1333.326155418278,1778.2496554823708,13314.61515
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SE,SE -- Abschleppeinrichtungen (Notkupplungen),SE01,SE01 -- Abschleppeinrichtungen (Notkupplungen),5184.707960721561,5402.7862536054,1853.6259690573536,1402.3641588541516,12774.91715
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SF,SF -- Übergänge/ Übergangseinrichtungen,SF01,SF01 -- Faltenbalg / Wellenbalg / Übergang / Übergangseinrichtungen,4211.749472960441,5730.36445442883,1712.131632441198,1959.8131334393902,12561.04802
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SF,SF -- Übergänge/ Übergangseinrichtungen,SF02,SF02 -- Gelenke / Kugeldrehverbindungen ,5220.230204508257,4447.397249932305,1576.226246731573,1749.6709356576766,11996.66019
HFX (Kangni),S,S -- Fahrzeugverbindungseinrichtungen,SG,"SG -- Schnittstelle Fahrzeug-Fahrzeug für Medien, Signale, Energie",SG01,"SG01 -- Schnittstelle Fahrzeug-Fahrzeug für Medien, Signale, Energie",5104.058453745024,5324.503761437086,1720.1681300344446,1734.6057114038913,12812.86375
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TA,"TA -- Tragsysteme, Umschließungen",TA00,TA00 -- E-Konstruktion,5026.363371385454,4697.4672457306715,1312.1482512018752,1960.289287271876,11996.00752
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TB,"TB -- Schränke, Behälter, Container",TB01,TB01 -- E-Container,4700.371396655243,5402.34976864479,1376.6434678921407,1986.8556485750046,12425.0069
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TB,"TB -- Schränke, Behälter, Container",TB02,TB02 -- E-Schaltschrank / Gerüste,5153.179977201337,4402.38243555474,1858.8378813139752,1622.4338914582281,12038.55448
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TB,"TB -- Schränke, Behälter, Container",TB03,TB03 -- Batteriekasten (Batteriecontainer),5290.921998352514,5832.880097301234,1867.338743892163,1408.7196754552685,13285.85181
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TC,"TC -- Gerüste, Tafeln",TC01,TC01 -- Fahrerpult,6122.733093594727,4596.063866836212,1937.8581952407003,1318.9045553907974,12904.45208
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TC,"TC -- Gerüste, Tafeln",TC02,TC02 -- Gerüst Fahrerpult (Führertisch),5096.899100795279,5664.206422607105,1326.216965821559,1749.1469804123913,12763.86785
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TC,"TC -- Gerüste, Tafeln",TC03,TC03 -- Fahrerpult Pultplatten,6381.374444821428,4319.118625509653,2085.589592462369,1653.3950846396774,13338.32768
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TC,"TC -- Gerüste, Tafeln",TC04,TC04 -- Geschränk FST (Schränke FST),6077.199742854075,4810.308847570954,1515.1051141759701,1563.926272364707,12892.28193
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TC,"TC -- Gerüste, Tafeln",TC05,TC05 -- Schalttafeln (Elektrotafeln),5196.804274477844,4639.8037026478105,1841.1611716987893,1887.6860788211754,12526.32506
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TC,"TC -- Gerüste, Tafeln",TC06,TC06 -- Pneumatik-Gerüst,5421.069039741082,5406.753739219871,1568.0953311807023,2079.231780843615,13359.84471
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TD,TD -- Bedien und Anzeigeeinheiten,TD01,TD01 -- Dienstschalter & Zugbegleiterschalter,5132.582390969395,5646.434867471343,1835.4896883855124,1656.8565552307543,13169.40708
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TD,TD -- Bedien und Anzeigeeinheiten,TD02,TD02 -- Monitore Leittechnik,4536.772145381212,4963.66465495638,1471.6709154922773,2162.7967170809693,12123.78097
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TD,TD -- Bedien und Anzeigeeinheiten,TD03,"TD03 -- Fahr-/Bremsschalter --> wird gelöscht, bitte auf GC02 umcodieren",5014.251666335174,5128.7907708901585,1388.8548717451124,1747.6024097763075,12253.85744
HFX (Kangni),T,"T -- Tragsysteme, Umschließungen",TE,TE -- Elektronische Aufbausysteme,TE01,TE01 -- Elektronische Aufbausysteme,3971.0497010353306,5680.434336285377,1547.8917674003058,1579.6082351789928,11786.46838
HFX (Kangni),U,U -- elektrische Leitungsverlegung,UA,UA -- Elektrische Leitungsverlegung,UA00,UA00 -- Elektrische Leitungsverlegung,4589.238556182258,5269.518308967079,1637.0024171366072,2009.856663098604,12464.49673
HFX (Kangni),U,U -- elektrische Leitungsverlegung,UA,UA -- Elektrische Leitungsverlegung,UA01,UA01 -- Kabelbäume,5578.028643984133,5036.74700768689,1508.833693328248,1935.3854025219355,12977.21996
HFX (Kangni),U,U -- elektrische Leitungsverlegung,UB,"UB -- Kabel, Leitungen und Schienen",UB01,UB01 -- Hochspannungskabel,5817.801563990889,4462.1782215386465,1750.1242342195612,1425.714659172085,12424.03865
HFX (Kangni),U,U -- elektrische Leitungsverlegung,UB,"UB -- Kabel, Leitungen und Schienen",UB02,UB02 -- Hochspannungsstecker Kabelendverschluß,6513.818234650246,4519.710648956729,1408.0894127332595,1962.8406750304853,13300.73594
HFX (Kangni),U,U -- elektrische Leitungsverlegung,UB,"UB -- Kabel, Leitungen und Schienen",UB03,UB03 -- Übergangskabel (außer Hochspannung),5244.284408759764,4376.97630526857,1775.21134173018,1910.1244357709872,12288.85356
